name,cluster
 Pablo Picasso,0
Adormideras,0
Agra do Orzàn,1
Agrela,0
Agrela II,1
Agrela III,0
Aparcamiento Matogrande,1
Aquarium,0
Avenida de Arteixo,0
Barrio de las Flores,0
Barrio de las Flores II,1
Birloque,1
Campo de La Leña (Plaza De España),0
Campo de Marte,0
Cantons - Alameda,0
Casa de Sol,0
Casa del Agua,0
Cd Castrillón,0
Centro Cívico Monelos,0
Centro deportivo Elviña,0
Chuac,0
Ciudad Escolar,0
Concordia,0
Cuatro Caminos,1
Estación Autobuses,0
Estación Tren,0
Expocoruna,1
Forum Metropolitano,1
Gaiteira,1
Hospital Abente y Lago,0
Lonzas,1
Los Rosales,0
Maestranza,0
Marineda,0
Meicende,1
Mercado de Monte Alto-Vila de Cambre,1
Millenium,1
Mirador de los Castros,1
"Monelos, Rafael Dieste",1
Novo Mesoiro,0
Novo Mesoiro II,1
Novo Mesoiro III,0
Obelisco,0
Orillamar,1
Os Castros,1
Os Mallos-Centro Cìvico,1
Os Mallos-San Vicente,1
Palavea,1
Parque de Bens,1
Parque de Eirís,0
Parque de Oza,1
Parque de Santa Margarita,1
Parque de Vioño,1
Parque del Agra,0
Paseo de Los Puentes,0
Pedralonga - Cidade das TIC,1
Plaza De Pontevedra,0
Plaza Indalecio Prieto,0
Plaza Recife,0
Plaza de Conchiñas,0
Plaza de Portugal,0
Plaza de San Rosendo,1
Plaza de Tabacos,0
Plaza de Vigo,1
Praza de Ourense,0
Praza de Pontevedra II,0
Puerta Real,0
Puerto - Palexco,0
Ronda de Monte Alto,1
Rosales III - Centro de Formación,1
Rosales-Labañou,1
San Andrés-Cordelería,0
San Pedro de Visma,0
Torre de Hércules,1
Ventorrillo,0
Xuxán I-Eiris,1
Xuxán II -Lavedra,1
Ágora,1
